EC	Name
EC:1.14.13.17	Transferred entry: 1.14.14.23
EC:1.14.13.18	4-hydroxyphenylacetate 1-monooxygenase
EC:1.14.13.19	Taxifolin 8-monooxygenase
EC:1.14.13.20	2,4-dichlorophenol 6-monooxygenase
EC:1.14.13.21	Transferred entry: 1.14.14.82
EC:1.14.13.22	Cyclohexanone monooxygenase
EC:1.14.13.23	3-hydroxybenzoate 4-monooxygenase
EC:1.14.13.24	3-hydroxybenzoate 6-monooxygenase
EC:1.14.13.25	Methane monooxygenase (soluble)
EC:1.14.13.26	Transferred entry: 1.14.18.4
EC:1.14.13.27	4-aminobenzoate 1-monooxygenase
EC:1.14.13.28	Transferred entry: 1.14.14.93
EC:1.14.13.29	4-nitrophenol 2-monooxygenase
EC:1.14.13.30	Transferred entry: 1.14.14.94
EC:1.14.13.31	2-nitrophenol 2-monooxygenase
EC:1.14.13.32	Albendazole monooxygenase
EC:1.14.13.33	4-hydroxybenzoate 3-monooxygenase (NAD(P)H)
EC:1.14.13.34	Leukotriene-E(4) 20-monooxygenase
EC:1.14.13.35	Anthranilate 3-monooxygenase (deaminating)
EC:1.14.13.36	Transferred entry: 1.14.14.96
EC:1.14.13.37	Transferred entry: 1.14.14.97
EC:1.14.13.38	Anhydrotetracycline 6-monooxygenase
EC:1.14.13.39	Nitric-oxide synthase (NADPH)
EC:1.14.13.40	Anthraniloyl-CoA monooxygenase
EC:1.14.13.41	Transferred entry: 1.14.14.36
EC:1.14.13.42	Deleted entry
EC:1.14.13.43	Questin monooxygenase
EC:1.14.13.44	2-hydroxybiphenyl 3-monooxygenase
EC:1.14.13.45	Transferred entry: 1.14.18.2
EC:1.14.13.46	(-)-menthol monooxygenase
EC:1.14.13.47	Transferred entry: 1.14.14.99
EC:1.14.13.48	Transferred entry: 1.14.14.51
EC:1.14.13.49	Transferred entry: 1.14.14.52
EC:1.14.13.50	Pentachlorophenol monooxygenase
EC:1.14.13.51	6-oxocineole dehydrogenase
EC:1.14.13.52	Transferred entry: 1.14.14.88
EC:1.14.13.53	Transferred entry: 1.14.14.89
EC:1.14.13.54	Ketosteroid monooxygenase
EC:1.14.13.55	Transferred entry: 1.14.14.98
EC:1.14.13.56	Transferred entry: 1.14.14.100
EC:1.14.13.57	Transferred entry: 1.14.14.101
EC:1.14.13.58	Benzoyl-CoA 3-monooxygenase
EC:1.14.13.59	L-lysine N(6)-monooxygenase (NADPH)
EC:1.14.13.60	Transferred entry: 1.14.14.29
EC:1.14.13.61	2-hydroxyquinoline 8-monooxygenase
EC:1.14.13.62	4-hydroxyquinoline 3-monooxygenase
EC:1.14.13.63	3-hydroxyphenylacetate 6-hydroxylase
EC:1.14.13.64	4-hydroxybenzoate 1-hydroxylase
EC:1.14.13.65	Deleted entry
EC:1.14.13.66	2-hydroxycyclohexanone 2-monooxygenase
EC:1.14.13.67	Transferred entry: 1.14.14.55
EC:1.14.13.68	Transferred entry: 1.14.14.37
EC:1.14.13.69	Alkene monooxygenase
EC:1.14.13.70	Transferred entry: 1.14.14.154
EC:1.14.13.71	Transferred entry: 1.14.14.102
EC:1.14.13.72	Transferred entry: 1.14.18.9
EC:1.14.13.73	Transferred entry: 1.14.14.103
EC:1.14.13.74	Transferred entry: 1.14.14.85
EC:1.14.13.75	Transferred entry: 1.14.14.104
EC:1.14.13.76	Transferred entry: 1.14.14.105
EC:1.14.13.77	Transferred entry: 1.14.14.106
EC:1.14.13.78	Transferred entry: 1.14.14.86
EC:1.14.13.79	Transferred entry: 1.14.14.107
EC:1.14.13.80	Transferred entry: 1.14.14.53
EC:1.14.13.81	Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
EC:1.14.13.82	Vanillate monooxygenase
EC:1.14.13.83	Precorrin-3B synthase
EC:1.14.13.84	4-hydroxyacetophenone monooxygenase
EC:1.14.13.85	Transferred entry: 1.14.14.135
EC:1.14.13.86	Transferred entry: 1.14.13.136
EC:1.14.13.87	Transferred entry: 1.14.14.140
EC:1.14.13.88	Transferred entry: 1.14.14.81
EC:1.14.13.89	Transferred entry: 1.14.14.90
EC:1.14.13.90	Transferred entry: 1.14.15.21
EC:1.14.13.91	Transferred entry: 1.14.14.136
EC:1.14.13.92	Phenylacetone monooxygenase
EC:1.14.13.93	Transferred entry: 1.14.14.137
EC:1.14.13.94	Transferred entry: 1.14.14.138
EC:1.14.13.95	Transferred entry: 1.14.18.8
EC:1.14.13.96	Transferred entry: 1.14.14.139
EC:1.14.13.97	Transferred entry: 1.14.14.57
EC:1.14.13.98	Transferred entry: 1.14.14.25
EC:1.14.13.99	Transferred entry: 1.14.14.26
EC:1.14.13.100	Transferred entry: 1.14.14.29
EC:1.14.13.101	Senecionine N-oxygenase
EC:1.14.13.102	Transferred entry: 1.14.14.141
EC:1.14.13.103	Transferred entry: 1.14.14.142
EC:1.14.13.104	Transferred entry: 1.14.14.143
EC:1.14.13.105	Monocyclic monoterpene ketone monooxygenase
EC:1.14.13.106	Epi-isozizaene 5-monooxygenase
EC:1.14.13.107	Limonene 1,2-monooxygenase
EC:1.14.13.108	Transferred entry: 1.14.14.144
EC:1.14.13.109	Transferred entry: 1.14.14.145
EC:1.14.13.110	Transferred entry: 1.14.14.146
EC:1.14.13.111	Methanesulfonate monooxygenase (NADH)
EC:1.14.13.112	Transferred entry: 1.14.14.147
EC:1.14.13.113	FAD-dependent urate hydroxylase
EC:1.14.13.114	6-hydroxynicotinate 3-monooxygenase
EC:1.14.13.115	Transferred entry: 1.14.14.148
EC:1.14.13.116	Geranylhydroquinone 3''-hydroxylase
EC:1.14.13.117	Transferred entry: 1.14.14.39
EC:1.14.13.118	Transferred entry: 1.14.14.38
EC:1.14.13.119	Transferred entry: 1.14.14.149
EC:1.14.13.120	Transferred entry: 1.14.14.150
EC:1.14.13.121	Transferred entry: 1.14.14.151
EC:1.14.13.122	Chlorophyllide a oxygenase
EC:1.14.13.123	Transferred entry: 1.14.14.95
EC:1.14.13.124	Transferred entry: 1.14.14.40
EC:1.14.13.125	Transferred entry: 1.14.14.156
EC:1.14.13.126	Transferred entry: 1.14.15.16
EC:1.14.13.127	3-(3-hydroxy-phenyl)propanoic acid hydroxylase
EC:1.14.13.128	7-methylxanthine demethylase
EC:1.14.13.129	Transferred entry: 1.14.15.24
EC:1.14.13.130	Pyrrole-2-carboxylate monooxygenase
EC:1.14.13.131	Dissimilatory dimethyl-sulfide monooxygenase
EC:1.14.13.132	Transferred entry: 1.14.14.17
EC:1.14.13.133	Transferred entry: 1.14.15.32
EC:1.14.13.134	Transferred entry: 1.14.14.152
EC:1.14.13.135	1-hydroxy-2-naphthoate hydroxylase
EC:1.14.13.136	Transferred entry: 1.14.14.87
EC:1.14.13.137	Transferred entry: 1.14.14.153
EC:1.14.13.138	Transferred entry: 1.14.14.157
EC:1.14.13.139	Transferred entry: 1.14.14.109
EC:1.14.13.140	Transferred entry: 1.14.14.110
EC:1.14.13.141	Transferred entry: 1.14.15.29
EC:1.14.13.142	Transferred entry: 1.14.15.30
EC:1.14.13.143	Transferred entry: 1.14.14.76
EC:1.14.13.144	Transferred entry: 1.14.14.111
EC:1.14.13.145	Transferred entry: 1.14.14.112
EC:1.14.13.146	Taxoid 14-beta-hydroxylase
EC:1.14.13.147	Taxoid 7-beta-hydroxylase
EC:1.14.13.148	Trimethylamine monooxygenase
EC:1.14.13.149	Phenylacetyl-CoA 1,2-epoxidase
EC:1.14.13.150	Transferred entry: 1.14.14.113
EC:1.14.13.151	Transferred entry: 1.14.14.84
EC:1.14.13.152	Transferred entry: 1.14.14.83
EC:1.14.13.153	(+)-sabinene 3-hydroxylase
EC:1.14.13.154	Erythromycin 12 hydroxylase
EC:1.14.13.155	Alpha-pinene monooxygenase
EC:1.14.13.156	Transferred entry: 1.14.14.133
EC:1.14.13.157	Transferred entry: 1.14.14.56
EC:1.14.13.158	Transferred entry: 1.14.14.114
EC:1.14.13.159	Transferred entry: 1.14.14.24
EC:1.14.13.160	(2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA 1,5-monooxygenase
EC:1.14.13.161	(+)-camphor 6-exo-hydroxylase
EC:1.14.13.162	Transferred entry: 1.14.14.108
EC:1.14.13.163	6-hydroxy-3-succinoylpyridine 3-monooxygenase
EC:1.14.13.164	Transferred entry: 1.13.11.65
EC:1.14.13.165	Transferred entry: 1.14.14.47
EC:1.14.13.166	4-nitrocatechol 4-monooxygenase
EC:1.14.13.167	4-nitrophenol 4-monooxygenase
EC:1.14.13.168	Indole-3-pyruvate monooxygenase
EC:1.14.13.169	Transferred entry: 1.14.18.5
EC:1.14.13.170	Pentalenolactone D synthase
EC:1.14.13.171	Neopentalenolactone D synthase
EC:1.14.13.172	Salicylate 5-hydroxylase
EC:1.14.13.173	Transferred entry: 1.14.14.115
EC:1.14.13.174	Transferred entry: 1.14.14.116
EC:1.14.13.175	Transferred entry: 1.14.14.117
EC:1.14.13.176	Transferred entry: 1.14.14.118
EC:1.14.13.177	Transferred entry: 1.14.14.119
EC:1.14.13.178	Methylxanthine N(1)-demethylase
EC:1.14.13.179	Methylxanthine N(3)-demethylase
EC:1.14.13.180	Aklavinone 12-hydroxylase
EC:1.14.13.181	13-deoxydaunorubicin hydroxylase
EC:1.14.13.182	2-heptyl-3-hydroxy-4(1H)-quinolone synthase
EC:1.14.13.183	Transferred entry: 1.14.14.120
EC:1.14.13.184	Transferred entry: 1.14.14.121
EC:1.14.13.185	Transferred entry: 1.14.15.33
EC:1.14.13.186	Transferred entry: 1.14.15.34
EC:1.14.13.187	L-evernosamine nitrososynthase
EC:1.14.13.188	Transferred entry: 1.14.15.35
EC:1.14.13.189	5-methyl-1-naphthoate 3-hydroxylase
EC:1.14.13.190	Ferruginol synthase
EC:1.14.13.191	Transferred entry: 1.14.14.70
EC:1.14.13.192	Transferred entry: 1.14.14.122
EC:1.14.13.193	Transferred entry: 1.14.14.123
EC:1.14.13.194	Transferred entry: 1.14.14.78
EC:1.14.13.195	L-ornithine N(5)-monooxygenase (NADPH)
EC:1.14.13.196	L-ornithine N(5)-monooxygenase (NAD(P)H)
EC:1.14.13.197	Transferred entry: 1.14.14.124
EC:1.14.13.198	Transferred entry: 1.14.14.125
EC:1.14.13.199	Transferred entry: 1.14.14.79
EC:1.14.13.200	Tetracenomycin A2 monooxygenase-diooxygenase
EC:1.14.13.201	Transferred entry: 1.14.14.126
EC:1.14.13.202	Transferred entry: 1.14.14.127
EC:1.14.13.203	Transferred entry: 1.14.14.128
EC:1.14.13.204	Transferred entry: 1.14.14.129
EC:1.14.13.205	Transferred entry: 1.14.14.80
EC:1.14.13.206	Transferred entry: 1.14.14.130
EC:1.14.13.207	Transferred entry: 1.14.14.31
EC:1.14.13.208	Benzoyl-CoA 2,3-epoxidase
EC:1.14.13.209	Salicyloyl-CoA 5-hydroxylase
EC:1.14.13.210	4-methyl-5-nitrocatechol 5-monooxygenase
EC:1.14.13.211	Rifampicin monooxygenase
EC:1.14.13.212	1,3,7-trimethyluric acid 5-monooxygenase
EC:1.14.13.213	Transferred entry: 1.14.14.131
EC:1.14.13.214	Transferred entry: 1.14.14.132
EC:1.14.13.215	Protoasukamycin 4-monooxygenase
EC:1.14.13.216	Asperlicin C monooxygenase
EC:1.14.13.217	Protodeoxyviolaceinate monooxygenase
EC:1.14.13.218	5-methylphenazine-1-carboxylate 1-monooxygenase
EC:1.14.13.219	Resorcinol 4-hydroxylase (NADPH)
EC:1.14.13.220	Resorcinol 4-hydroxylase (NADH)
EC:1.14.13.221	Transferred entry: 1.14.15.28
EC:1.14.13.222	Aurachin C monooxygenase/isomerase
EC:1.14.13.223	3-hydroxy-4-methyl-anthranilyl-[aryl-carrier protein] 5-monooxygenase
EC:1.14.13.224	Violacein synthase
EC:1.14.13.225	F-actin monooxygenase
EC:1.14.13.226	Acetone monooxygenase (methyl acetate-forming)
EC:1.14.13.227	Propane 2-monooxygenase
EC:1.14.13.228	Jasmomic acid 12-hydroxylase
EC:1.14.13.229	Tert-butanol monooxygenase
EC:1.14.13.230	Butane monooxygenase (soluble)
EC:1.14.13.231	Tetracycline 11a-monooxygenase
EC:1.14.13.232	6-methylpretetramide 4-monooxygenase
EC:1.14.13.233	4-hydroxy-6-methylpretetramide 12a-monooxygenase
EC:1.14.13.234	12-dehydrotetracycline 5-monooxygenase
EC:1.14.13.235	Indole-3-acetate monooxygenase
EC:1.14.13.236	Toluene 4-monooxygenase
EC:1.14.13.237	Aliphatic glucosinolate S-oxygenase
EC:1.14.13.238	Dimethylamine monooxygenase
EC:1.14.13.239	Carnitine monooxygenase
EC:1.14.13.240	2-polyprenylphenol 6-hydroxylase
EC:1.14.13.241	5-pyridoxate monooxygenase
EC:1.14.13.242	3-hydroxy-2-methylpyridine-5-carboxylate monooxygenase
EC:1.14.13.243	Toluene 2-monooxygenase
EC:1.14.13.244	Phenol 2-monooxygenase (NADH)
EC:1.14.13.245	Assimilatory dimethylsulfide S-monooxygenase
EC:1.14.13.246	4-beta-methylsterol monooxygenase
EC:1.14.13.247	Stachydrine N-demethylase
EC:1.14.13.n1	Transferred entry: 1.14.14.40
EC:1.14.13.n2	Transferred entry: 1.14.14.156
EC:1.14.13.n3	Transferred entry: 1.14.13.127
EC:1.14.13.n4	Transferred entry: 1.14.15.16
EC:1.14.13.n5	Transferred entry: 1.14.14.42
EC:1.14.13.n6	Hexahomomethionine N-hydroxylase
EC:1.14.13.n7	4-nitrophenol 2-hydroxylase
EC:1.14.13.n8	Transferred entry: 1.14.14.41
EC:1.14.13.n9	Transferred entry: 1.14.13.149
EC:1.14.14.1	Unspecific monooxygenase
EC:1.14.14.2	Transferred entry: 1.14.14.1
EC:1.14.14.3	Bacterial luciferase
EC:1.14.14.4	Transferred entry: 1.14.15.7
EC:1.14.14.5	Alkanesulfonate monooxygenase
EC:1.14.14.6	Transferred entry: 1.14.13.111
EC:1.14.14.7	Transferred entry: 1.14.19.9
EC:1.14.14.8	Anthranilate 3-monooxygenase (FAD)
EC:1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase
EC:1.14.14.10	Nitrilotriacetate monooxygenase
EC:1.14.14.11	Styrene monooxygenase
EC:1.14.14.12	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase
EC:1.14.14.13	4-(gamma-L-glutamylamino)butanoyl-[BtrI acyl-carrier protein]|monooxygenase
EC:1.14.14.14	Aromatase
EC:1.14.14.15	(3S)-3-amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier|protein SgcC2] monooxygenase
EC:1.14.14.16	Steroid 21-monooxygenase
EC:1.14.14.17	Squalene monooxygenase
EC:1.14.14.18	Heme oxygenase (biliverdin-producing)
EC:1.14.14.19	Steroid 17-alpha-monooxygenase
EC:1.14.14.20	Phenol 2-monooxygenase (FADH(2))
EC:1.14.14.21	Dibenzothiophene monooxygenase
EC:1.14.14.22	Dibenzothiophene sulfone monooxygenase
EC:1.14.14.23	Cholesterol 7-alpha-monooxygenase
EC:1.14.14.24	Vitamin D 25-hydroxylase
EC:1.14.14.25	Cholesterol 24-hydroxylase
EC:1.14.14.26	24-hydroxycholesterol 7-alpha-hydroxylase
EC:1.14.14.27	Resorcinol 4-hydroxylase (FADH(2))
EC:1.14.14.28	Long-chain alkane monooxygenase
EC:1.14.14.29	25/26-hydroxycholesterol 7-alpha-hydroxylase
EC:1.14.14.30	Isobutylamine N-monooxygenase
EC:1.14.14.31	Ipsdienol synthase
EC:1.14.14.32	17-alpha-hydroxyprogesterone deacetylase
EC:1.14.14.33	Ethylenediaminetetraacetate monooxygenase
EC:1.14.14.34	Methanesulfonate monooxygenase (FMNH(2))
EC:1.14.14.35	Dimethylsulfone monooxygenase
EC:1.14.14.36	Tyrosine N-monooxygenase
EC:1.14.14.37	4-hydroxyphenylacetaldehyde oxime monooxygenase
EC:1.14.14.38	Valine N-monooxygenase
EC:1.14.14.39	Isoleucine N-monooxygenase
EC:1.14.14.40	Phenylalanine N-monooxygenase
EC:1.14.14.41	(E)-2-methylbutanal oxime monooxygenase
EC:1.14.14.42	Homomethionine N-monooxygenase
EC:1.14.14.43	(Methylsulfanyl)alkanaldoxime N-monooxygenase
EC:1.14.14.44	Phenylacetaldehyde oxime monooxygenase
EC:1.14.14.45	Aromatic aldoxime N-monooxygenase
EC:1.14.14.46	Pimeloyl-[acyl-carrier protein] synthase
EC:1.14.14.47	Nitric-oxide synthase (flavodoxin)
EC:1.14.14.48	Jasmonoyl-L-amino acid 12-hydroxylase
EC:1.14.14.49	12-hydroxyjasmonoyl-L-amino acid 12-hydroxylase
EC:1.14.14.50	Tabersonine 3-oxygenase
EC:1.14.14.51	(S)-limonene 6-monooxygenase
EC:1.14.14.52	(S)-limonene 7-monooxygenase
EC:1.14.14.53	(R)-limonene 6-monooxygenase
EC:1.14.14.54	Phenylacetate 2-hydroxylase
EC:1.14.14.55	Quinine 3-monooxygenase
EC:1.14.14.56	1,8-cineole 2-exo-monooxygenase
EC:1.14.14.57	Taurochenodeoxycholate 6-alpha-hydroxylase
EC:1.14.14.58	Trimethyltridecatetraene synthase
EC:1.14.14.59	Dimethylnonatriene synthase
EC:1.14.14.60	Ferruginol monooxygenase
EC:1.14.14.61	Carnosic acid synthase
EC:1.14.14.62	Salviol synthase
EC:1.14.14.63	Beta-amyrin 16-beta-monooxygenase
EC:1.14.14.64	Beta-amyrin 6-beta-monooxygenase
EC:1.14.14.65	Sugiol synthase
EC:1.14.14.66	Marmesin synthase
EC:1.14.14.67	11-hydroxysugiol 20-monooxygenase
EC:1.14.14.68	Syn-pimaradiene 3-monooxygenase
EC:1.14.14.69	Ent-cassadiene hydroxylase
EC:1.14.14.70	Ent-sandaracopimaradiene 3-hydroxylase
EC:1.14.14.71	Cucurbitadienol 11-hydroxylase
EC:1.14.14.72	Drimenol monooxygenase
EC:1.14.14.73	Albendazole monooxygenase (sufoxide-forming)
EC:1.14.14.74	Albendazole monooxygenase (hydroxylating)
EC:1.14.14.75	Fenbendazole monooxygenase (4'-hydroxylating)
EC:1.14.14.76	Ent-isokaurene C2/C3-hydroxylase
EC:1.14.14.77	Phenylacetonitrile alpha-monooxygenase
EC:1.14.14.78	Phylloquinone omega-hydroxylase
EC:1.14.14.79	Docosahexaenoic acid omega-hydroxylase
EC:1.14.14.80	Long-chain fatty acid omega-monooxygenase
EC:1.14.14.81	Flavonoid 3',5'-hydroxylase
EC:1.14.14.82	Flavonoid 3'-monooxygenase
EC:1.14.14.83	Geraniol 8-hydroxylase
EC:1.14.14.84	Linalool 8-monooxygenase
EC:1.14.14.85	7-deoxyloganate 7-hydroxylase
EC:1.14.14.86	Ent-kaurene monooxygenase
EC:1.14.14.87	2-hydroxyisoflavanone synthase
EC:1.14.14.88	Isoflavone 3'-hydroxylase
EC:1.14.14.89	4'-methoxyisoflavone 2'-hydroxylase
EC:1.14.14.90	Isoflavone 2'-hydroxylase
EC:1.14.14.91	Trans-cinnamate 4-monooxygenase
EC:1.14.14.92	Benzoate 4-monooxygenase
EC:1.14.14.93	3,9-dihydroxypterocarpan 6A-monooxygenase
EC:1.14.14.94	Leukotriene-B(4) 20-monooxygenase
EC:1.14.14.95	Germacrene A hydroxylase
EC:1.14.14.96	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase
EC:1.14.14.97	Methyltetrahydroprotoberberine 14-monooxygenase
EC:1.14.14.98	Protopine 6-monooxygenase
EC:1.14.14.99	(S)-limonene 3-monooxygenase
EC:1.14.14.100	Dihydrosanguinarine 10-monooxygenase
EC:1.14.14.101	Dihydrochelirubine 12-monooxygenase
EC:1.14.14.102	N-methylcoclaurine 3'-monooxygenase
EC:1.14.14.103	Tabersonine 16-hydroxylase
EC:1.14.14.104	Vinorine hydroxylase
EC:1.14.14.105	Taxane 10-beta-hydroxylase
EC:1.14.14.106	Taxane 13-alpha-hydroxylase
EC:1.14.14.107	Ent-kaurenoic acid monooxygenase
EC:1.14.14.108	2,5-diketocamphane 1,2-monooxygenase
EC:1.14.14.109	3-hydroxyindolin-2-one monooxygenase
EC:1.14.14.110	2-hydroxy-1,4-benzoxazin-3-one monooxygenase
EC:1.14.14.111	9-beta-pimara-7,15-diene oxidase
EC:1.14.14.112	Ent-cassa-12,15-diene 11-hydroxylase
EC:1.14.14.113	Alpha-humulene 10-hydroxylase
EC:1.14.14.114	Amorpha-4,11-diene 12 monooxygenase
EC:1.14.14.115	11-oxo-beta-amyrin 30-oxidase
EC:1.14.14.116	Averantin hydroxylase
EC:1.14.14.117	Aflatoxin B synthase
EC:1.14.14.118	Tryprostatin B 6-hydroxylase
EC:1.14.14.119	Fumitremorgin C monooxygenase
EC:1.14.14.120	Dammarenediol 12-hydroxylase
EC:1.14.14.121	Protopanaxadiol 6-hydroxylase
EC:1.14.14.122	Oryzalexin E synthase
EC:1.14.14.123	Oryzalexin D synthase
EC:1.14.14.124	Dihydromonacolin L hydroxylase
EC:1.14.14.125	Monacolin L hydroxylase
EC:1.14.14.126	Beta-amyrin 28-monooxygenase
EC:1.14.14.127	Methyl farnesoate epoxidase
EC:1.14.14.128	Farnesoate epoxidase
EC:1.14.14.129	Long-chain acyl-CoA omega-monooxygenase
EC:1.14.14.130	Laurate 7-monooxygenase
EC:1.14.14.131	Bursehernin 5'-monooxygenase
EC:1.14.14.132	(-)-4'-demethyl-deoxypodophyllotoxin 4-hydroxylase
EC:1.14.14.133	1,8-cineole 2-endo-monooxygenase
EC:1.14.14.134	Beta-amyrin 24-hydroxylase
EC:1.14.14.135	Glyceollin synthase
EC:1.14.14.136	Deoxysarpagine hydroxylase
EC:1.14.14.137	(+)-abscisic acid 8'-hydroxylase
EC:1.14.14.138	Lithocholate 6-beta-hydroxylase
EC:1.14.14.139	5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase
EC:1.14.14.140	Licodione synthase
EC:1.14.14.141	Psoralen synthase
EC:1.14.14.142	8-dimethylallylnaringenin 2'-hydroxylase
EC:1.14.14.143	(+)-menthofuran synthase
EC:1.14.14.144	Abieta-7,13-diene hydroxylase
EC:1.14.14.145	Abieta-7,13-dien-18-ol hydroxylase
EC:1.14.14.146	Geranylgeraniol 18-hydroxylase
EC:1.14.14.147	3-epi-6-deoxocathasterone 23-monooxygenase
EC:1.14.14.148	Angelicin synthase
EC:1.14.14.149	5-epiaristolochene 1,3-dihydroxylase
EC:1.14.14.150	Costunolide synthase
EC:1.14.14.151	Premnaspirodiene oxygenase
EC:1.14.14.152	Beta-amyrin 11-oxidase
EC:1.14.14.153	Indole-2-monooxygenase
EC:1.14.14.154	Sterol 14-alpha-demethylase
EC:1.14.14.155	3,6-diketocamphane 1,2-monooxygenase
EC:1.14.14.156	Tryptophan N-monooxygenase
EC:1.14.14.157	Indolin-2-one monooxygenase
EC:1.14.14.158	Carotene epsilon-hydroxylase
EC:1.14.14.159	Dolabradiene monooxygenase
EC:1.14.14.160	Zealexin A1 synthase
EC:1.14.14.161	Nepetalactol monooxygenase
EC:1.14.14.162	Flavanone 2-hydroxylase
EC:1.14.14.163	(S)-1-hydroxy-N-methylcanadine 13-hydroxylase
EC:1.14.14.164	Fraxetin 5-hydroxylase
EC:1.14.14.165	Indole-3-carbonyl nitrile 4-hydroxylase
EC:1.14.14.166	(S)-N-methylcanadine 1-hydroxylase
EC:1.14.14.167	(13S,14R)-13-O-acetyl-1-hydroxy-N-methylcanadine 8-hydroxylase
EC:1.14.14.168	Germacreene A acid 8-beta-hydroxylase
EC:1.14.14.169	Eupatolide synthase
EC:1.14.14.170	8-epi-inunolide synthase
EC:1.14.14.171	Beta-amyrin 16-alpha-hydroxylase
EC:1.14.14.172	3,5,6-trichloropyridin-2-ol monooxygenase
EC:1.14.14.173	2,4,6-trichlorophenol monooxygenase
EC:1.14.14.n1	Transferred entry: 1.14.99.46
EC:1.14.15.1	Camphor 5-monooxygenase
EC:1.14.15.2	Transferred entry: 1.14.14.108
EC:1.14.15.3	Alkane 1-monooxygenase
EC:1.14.15.4	Steroid 11-beta-monooxygenase
EC:1.14.15.5	Corticosterone 18-monooxygenase
EC:1.14.15.6	Cholesterol monooxygenase (side-chain-cleaving)
EC:1.14.15.7	Choline monooxygenase
EC:1.14.15.8	Steroid 15-beta-monooxygenase
EC:1.14.15.9	Spheroidene monooxygenase
EC:1.14.15.10	(+)-camphor 6-endo-hydroxylase
EC:1.14.15.11	Pentalenic acid synthase
EC:1.14.15.12	Transferred entry: 1.14.14.46
EC:1.14.15.13	Pulcherriminic acid synthase
EC:1.14.15.14	Methyl-branched lipid omega-hydroxylase
EC:1.14.15.15	Cholestanetriol 26-monooxygenase
EC:1.14.15.16	Vitamin D(3) 24-hydroxylase
EC:1.14.15.17	Pheophorbide a oxygenase
EC:1.14.15.18	Calcidiol 1-monooxygenase
EC:1.14.15.19	C-19 steroid 1-alpha-hydroxylase
EC:1.14.15.20	Heme oxygenase (biliverdin-producing, ferredoxin)
EC:1.14.15.21	Zeaxanthin epoxidase
EC:1.14.15.22	Vitamin D 1,25-hydroxylase
EC:1.14.15.23	Chloroacetanilide N-alkylformylase
EC:1.14.15.24	Beta-carotene 3-hydroxylase
EC:1.14.15.25	p-cymene methyl-monooxygenase
EC:1.14.15.26	Toluene methyl-monooxygenase
EC:1.14.15.27	Beta-dihydromenaquinone-9 omega-hydroxylase
EC:1.14.15.28	Cholest-4-en-3-one 26-monooxygenase  ((25R)-3-oxocholest-4-en-26-oate|forming)
EC:1.14.15.29	Cholest-4-en-3-one 26-monooxygenase ((25S)-3-oxocholest-4-en-26-oate|forming)
EC:1.14.15.30	3-ketosteroid 9-alpha-monooxygenase
EC:1.14.15.31	2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
EC:1.14.15.32	Pentalenene oxygenase
EC:1.14.15.33	Pikromycin synthase
EC:1.14.15.34	20-oxo-5-O-mycaminosyltylactone 23-monooxygenase
EC:1.14.15.35	6-deoxyerythronolide B hydroxylase
EC:1.14.15.36	Sterol 14-alpha-demethylase (ferredoxin)
EC:1.14.15.37	Luteothin monooxygenase
EC:1.14.16.1	Phenylalanine 4-monooxygenase
EC:1.14.16.2	Tyrosine 3-monooxygenase
EC:1.14.16.3	Deleted entry
EC:1.14.16.4	Tryptophan 5-monooxygenase
EC:1.14.16.5	Alkylglycerol monooxygenase
EC:1.14.16.6	Mandelate 4-monooxygenase
EC:1.14.16.7	Phenylalanine 3-monooxygenase
EC:1.14.17.1	Dopamine beta-monooxygenase
EC:1.14.17.2	Transferred entry: 1.14.18.1
EC:1.14.17.3	Peptidylglycine monooxygenase
EC:1.14.17.4	Aminocyclopropanecarboxylate oxidase
EC:1.14.18.1	Tyrosinase
EC:1.14.18.2	CMP-N-acetylneuraminate monooxygenase
EC:1.14.18.3	Methane monooxygenase (particulate)
EC:1.14.18.4	Phosphatidylcholine 12-monooxygenase
EC:1.14.18.5	Sphingolipid C4-monooxygenase
EC:1.14.18.6	4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase
EC:1.14.18.7	Dihydroceramide fatty acyl 2-hydroxylase
EC:1.14.18.8	7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase
EC:1.14.18.9	4-alpha-methylsterol monooxygenase
EC:1.14.18.10	Plant 4,4-dimethylsterol C-4-alpha-methyl-monooxygenase
EC:1.14.18.11	Plant 4-alpha-monomethylsterol monooxygenase
EC:1.14.18.12	2-hydroxy fatty acid dioxygenase
EC:1.14.19.1	Stearoyl-CoA 9-desaturase
EC:1.14.19.2	Stearoyl-[acyl-carrier-protein] 9-desaturase
EC:1.14.19.3	Acyl-CoA 6-desaturase
EC:1.14.19.4	Acyl-lipid (11-3)-desaturase
EC:1.14.19.5	Acyl-CoA 11-(Z)-desaturase
